λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,479.0,400.0,200.0,0.0,2.333333333333333,3.1387345489801026
1.0,1.0,479.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.7260125454470994
1.0,1.0,518.0,400.0,200.0,0.0,2.333333333333333,3.106706765784903
1.0,1.0,518.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.7731256556065977
1.0,1.0,561.0,400.0,200.0,0.0,2.333333333333333,3.155164929188142
1.0,1.0,561.0,400.0,200.0,0.5061224489795918,2.333333333333333,2.896912811924413
1.0,1.0,608.0,400.0,200.0,0.0,2.333333333333333,3.153394892480491
1.0,1.0,608.0,400.0,200.0,0.5061224489795918,2.333333333333333,2.9470226079096786
1.0,1.0,658.0,400.0,200.0,0.0,2.333333333333333,3.13251163101399
1.0,1.0,658.0,400.0,200.0,0.1,2.333333333333333,3.0855274859581967
1.0,1.0,712.0,400.0,200.0,0.0,2.333333333333333,3.1232043986348064
1.0,1.0,712.0,400.0,200.0,0.1,2.333333333333333,3.087874346390607
1.0,1.0,771.0,400.0,200.0,0.0,2.333333333333333,3.1387845651339803
1.0,1.0,771.0,400.0,200.0,0.1,2.333333333333333,3.109929437295632
1.0,1.0,835.0,400.0,200.0,0.0,2.333333333333333,3.155506282724122
1.0,1.0,835.0,400.0,200.0,0.1,2.333333333333333,3.130821469301491
